wellbore_name,measured_depth,inclination,azimuth
Freeman-004ST1,0,0,0
Freeman-004ST1,3624,0.78,51.5
Freeman-004ST1,3718,0.57,49.3
Freeman-004ST1,3812,0.56,44.4
Freeman-004ST1,3904,0.6,43.1
Freeman-004ST1,3995,0.4,33.6
Freeman-004ST1,4090,0.81,30.1
Freeman-004ST1,4184,0.74,30.9
Freeman-004ST1,4278,0.69,26.4
Freeman-004ST1,4371,0.71,31.9
Freeman-004ST1,4473,0.7,35.6
Freeman-004ST1,4555,0.67,40.5
Freeman-004ST1,4651,0.52,39.3
Freeman-004ST1,4746,0.7,49.6
Freeman-004ST1,4838,0.78,63.1
Freeman-004ST1,4935,1.08,57.1
Freeman-004ST1,4998,1.02,54.7
Freeman-004ST1,5136,0.61,94.5
Freeman-004ST1,5228,0.41,70.6
Freeman-004ST1,5322,0.32,69.4
Freeman-004ST1,5414,0.23,91
Freeman-004ST1,5509,0.21,112.6
Freeman-004ST1,5604,0.24,129.5
Freeman-004ST1,5695,0.24,129
Freeman-004ST1,5788,0.18,143.5
Freeman-004ST1,5883,0.08,184.5
Freeman-004ST1,5977,0.15,89.3
Freeman-004ST1,6070,0.72,127.2
Freeman-004ST1,6164,0.48,128.5
Freeman-004ST1,6258,0.52,116.4
Freeman-004ST1,6354,0.56,129.2
Freeman-004ST1,6447,0.54,124.8
Freeman-004ST1,6539,0.54,124.8
Freeman-004ST1,6632,0.5,131.3
Freeman-004ST1,6726,0.62,136.4
Freeman-004ST1,6822,0.81,147.5
Freeman-004ST1,6915,0.93,151.2
Freeman-004ST1,7008,1.09,149.4
Freeman-004ST1,7100,1.04,132.6
Freeman-004ST1,7193,0.99,126.1
Freeman-004ST1,7291,1.26,139
Freeman-004ST1,7384,1.59,150.6
Freeman-004ST1,7477,1.76,169.5
Freeman-004ST1,7567,1.77,189.2
Freeman-004ST1,7658,1.8,201.9
Freeman-004ST1,7753,2.01,211.4
Freeman-004ST1,7849,2.24,209.7
Freeman-004ST1,7855,2.2,209.1
Freeman-004ST1,7900,2.24,207.8
Freeman-004ST1,7995,2.04,208.2
Freeman-004ST1,8089,1.8,205.8
Freeman-004ST1,8186,1.49,217.3
Freeman-004ST1,8274,1.31,221.4
Freeman-004ST1,8310,1.42,230
Freeman-004ST1,8396,1.96,225.1
Freeman-004ST1,8502,2.6,223.8
Freeman-004ST1,8593,3.2,218.4
Freeman-004ST1,8689,2.48,222.7
Freeman-004ST1,8800,1.78,218.4
Freeman-004ST1,8893,1.04,277.9
Freeman-004ST1,8988,5.56,352.9
Freeman-004ST1,9084,9.77,352.1
Freeman-004ST1,9174,13.55,348.9
Freeman-004ST1,9271,17.08,347.4
Freeman-004ST1,9365,21.16,347
Freeman-004ST1,9457,25.34,345.2
Freeman-004ST1,9548,29.07,345.1
Freeman-004ST1,9643,32.94,346.1
Freeman-004ST1,9739,36.25,347.1
Freeman-004ST1,9830,38.37,346.7
Freeman-004ST1,9924,40.29,345.3
Freeman-004ST1,10022,41.42,344.1
Freeman-004ST1,10110,41.98,344.1
Freeman-004ST1,10202,42.37,344.3
Freeman-004ST1,10301,42.53,344.4
Freeman-004ST1,10392,42.48,344.3
Freeman-004ST1,10487,42.47,344.3
Freeman-004ST1,10584,42.62,344.4
Freeman-004ST1,10669,42.44,344.2
Freeman-004ST1,10765,42.41,344.3
Freeman-004ST1,10861,42.33,344.6
Freeman-004ST1,10952,42.39,344.8
Freeman-004ST1,11051,42.45,344.8
Freeman-004ST1,11146,42.51,344.9
Freeman-004ST1,11241,42.69,345.1
Freeman-004ST1,11344,42.77,345.2
